iter	Passed	Remaining
414	2911	4104
415	2915	4092
416	2919	4081
417	2923	4070
418	2927	4058
419	2934	4052
420	2938	4041
421	2943	4030
422	2950	4024
423	2957	4018
424	2963	4010
425	2973	4006
426	2977	3995
427	2981	3984
428	2985	3973
429	2992	3966
430	2996	3955
431	3000	3944
432	3003	3933
433	3011	3926
434	3015	3916
435	3022	3909
436	3047	3926
437	3051	3915
438	3058	3908
439	3065	3901
440	3069	3891
441	3085	3895
442	3089	3884
443	3092	3872
444	3096	3861
445	3100	3851
446	3119	3859
447	3123	3848
448	3127	3837
449	3131	3827
450	3148	3833
451	3152	3822
452	3156	3811
453	3169	3811
454	3186	3817
455	3215	3836
456	3222	3828
457	3229	3822
458	3233	3811
459	3237	3800
460	3241	3789
461	3245	3779
462	3249	3768
463	3253	3758
464	3257	3747
465	3261	3737
466	3268	3730
467	3279	3728
468	3284	3718
469	3288	3708
470	3292	3697
471	3294	3685
472	3298	3674
473	3302	3664
474	3306	3654
475	3320	3655
476	3324	3644
477	3338	3645
478	3343	3636
479	3351	3630
480	3357	3622
481	3360	3611
482	3364	3600
483	3371	3594
484	3375	3584
485	3408	3604
486	3412	3594
487	3416	3584
488	3418	3572
489	3421	3561
490	3425	3551
491	3429	3540
492	3433	3530
493	3437	3520
494	3439	3509
495	3443	3499
496	3447	3489
497	3451	3479
498	3455	3469
499	3467	3467
500	3470	3457
501	3475	3447
502	3479	3438
503	3483	3428
504	3487	3418
505	3491	3408
506	3495	3399
507	3499	3389
508	3503	3379
509	3507	3369
510	3511	3360
511	3515	3350
512	3518	3340
513	3525	3333
514	3544	3337
515	3547	3327
516	3551	3318
517	3555	3308
518	3559	3298
519	3562	3288
520	3574	3286
521	3582	3280
522	3585	3270
523	3589	3260
524	3593	3250
525	3596	3241
526	3600	3231
527	3603	3220
528	3606	3211
529	3610	3201
530	3614	3192
531	3617	3182
532	3621	3173
533	3625	3163
534	3628	3154
535	3632	3144
536	3636	3135
537	3640	3126
538	3644	3116
539	3647	3107
540	3665	3110
541	3669	3100
542	3672	3090
543	3676	3081
544	3685	3077
545	3689	3067
546	3693	3058
547	3697	3049
548	3701	3040
549	3707	3033
550	3742	3050
551	3746	3040
552	3750	3031
553	3753	3022
554	3757	3012
555	3761	3003
556	3764	2994
557	3768	2984
558	3772	2975
559	3775	2966
560	3779	2957
561	3783	2948
562	3786	2939
563	3790	2930
564	3795	2921
565	3798	2912
566	3802	2903
567	3806	2894
568	3819	2893
569	3823	2884
570	3826	2875
571	3830	2866
572	3834	2857
573	3837	2848
574	3841	2839
575	3847	2832
576	3851	2823
577	3854	2814
578	3858	2805
579	3882	2811
580	3902	2814
581	3906	2805
582	3909	2796
583	3913	2787
584	3918	2779
585	3944	2786
586	3952	2780
587	3987	2793
588	3993	2786
589	4002	2781
590	4017	2780
591	4022	2772
592	4026	2763
593	4034	2757
594	4038	2749
595	4047	2743
596	4053	2735
597	4059	2728
598	4064	2720
599	4069	2713
600	4138	2747
601	4144	2740
602	4153	2734
603	4163	2729
604	4172	2723
605	4176	2715
606	4181	2707
607	4185	2698
608	4195	2693
609	4201	2686
610	4220	2687
611	4239	2687
612	4262	2691
613	4269	2684
614	4278	2678
615	4282	2669
616	4287	2661
617	4293	2654
618	4297	2644
619	4300	2635
620	4304	2627
621	4308	2618
622	4312	2609
623	4316	2600
624	4320	2592
625	4355	2602
626	4366	2597
627	4371	2589
628	4378	2582
629	4382	2573
630	4388	2566
631	4393	2558
632	4398	2549
633	4404	2542
634	4411	2535
635	4418	2528
636	4422	2520
637	4426	2511
638	4431	2503
639	4437	2495
640	4442	2488
641	4451	2482
642	4459	2475
643	4471	2471
644	4478	2465
645	4484	2457
646	4490	2450
647	4496	2442
648	4503	2435
649	4507	2427
650	4514	2420
651	4519	2412
652	4525	2404
653	4562	2414
654	4566	2405
655	4570	2396
656	4575	2388
657	4579	2380
658	4583	2371
659	4598	2368
660	4602	2360
661	4637	2367
662	4643	2360
663	4649	2352
664	4656	2345
665	4662	2338
666	4667	2330
667	4672	2322
668	4688	2319
669	4692	2311
670	4697	2303
671	4701	2294
672	4706	2286
673	4711	2278
674	4715	2270
675	4728	2266
676	4732	2257
677	4742	2252
678	4750	2245
679	4754	2237
680	4758	2228
681	4761	2220
682	4766	2212
683	4770	2203
684	4787	2201
685	4791	2193
686	4795	2184
687	4850	2199
688	4855	2191
689	4861	2184
690	4866	2176
691	4871	2168
692	4882	2163
693	4886	2154
694	4894	2148
695	4899	2139
696	4902	2131
697	4906	2123
698	4912	2115
699	4916	2107
700	4930	2102
701	4933	2094
702	4937	2086
703	4941	2077
704	4945	2069
705	4949	2061
706	4953	2052
707	4956	2044
708	4960	2036
709	4964	2027
710	4968	2019
711	4972	2011
712	4976	2003
713	4980	1994
714	4984	1986
715	4987	1978
716	4992	1970
717	4995	1962
718	4999	1954
719	5003	1945
720	5014	1940
721	5025	1935
722	5032	1928
723	5038	1920
724	5044	1913
725	5048	1905
726	5075	1905
727	5083	1899
728	5086	1890
729	5093	1883
730	5097	1875
731	5101	1867
732	5106	1860
733	5133	1860
734	5140	1853
735	5149	1846
736	5163	1842
737	5168	1834
738	5174	1827
739	5179	1819
740	5184	1812
741	5188	1804
742	5192	1796
743	5196	1788
744	5200	1780
745	5203	1771
746	5208	1764
747	5213	1756
748	5218	1748
749	5222	1740
750	5226	1732
751	5230	1724
752	5233	1716
753	5238	1708
754	5242	1701
755	5246	1693
756	5253	1686
757	5257	1678
758	5261	1670
759	5265	1662
760	5269	1654
761	5282	1649
762	5286	1642
763	5290	1634
764	5294	1626
765	5298	1618
