iter	Logloss
0	0.6850784302
1	0.6773944359
2	0.6710858492
3	0.6639479024
4	0.6575057332
5	0.6521241967
6	0.645950773
7	0.6400196133
8	0.6339787696
9	0.6279115962
10	0.6221456367
11	0.617227759
12	0.6127220422
13	0.6072048191
14	0.6025030522
15	0.5975723861
16	0.5931230477
17	0.5895338682
18	0.5853212239
19	0.581988282
20	0.5781925773
21	0.5759170057
22	0.5715380637
23	0.568764188
24	0.5661637793
25	0.5630114169
26	0.5601945272
27	0.5570802223
28	0.5539288154
29	0.5514957828
30	0.5486995953
31	0.5468191248
32	0.5442284869
33	0.5419698852
34	0.5393839091
35	0.5366762282
36	0.5339153268
37	0.5318812255
38	0.5295870491
39	0.5275422204
40	0.5263570674
41	0.5245616047
42	0.5226070257
43	0.5215949267
44	0.51981886
45	0.5179194756
46	0.5157947017
47	0.5130724016
48	0.5107819556
49	0.5093856695
50	0.5067379442
51	0.5046673672
52	0.5024594662
53	0.501005773
54	0.4994244332
55	0.4981158862
56	0.4963862549
57	0.4949422578
58	0.493409336
59	0.4919324507
60	0.4906074356
61	0.4891424941
62	0.4867537101
63	0.4850673104
64	0.483093134
65	0.4819955041
66	0.4813113934
67	0.4802324347
68	0.4786142317
69	0.4775713679
70	0.4762917112
71	0.4748798391
72	0.4739938001
73	0.4724695593
74	0.4714243654
75	0.4705516349
76	0.469154925
77	0.4679686537
78	0.4666545862
79	0.4660826815
80	0.4651641954
81	0.4644485491
82	0.4632052775
83	0.4621789907
84	0.461386235
85	0.4603455118
86	0.4594595471
87	0.4584789638
88	0.4576638352
89	0.4565835112
90	0.4560053521
91	0.4551723132
92	0.4544534464
93	0.4536683376
94	0.4527085811
95	0.4515584041
96	0.4505775221
97	0.4496663173
98	0.448983382
99	0.4485092171
100	0.4479675917
101	0.4470629033
102	0.4464136121
103	0.4457008175
104	0.4451401342
105	0.4446838358
106	0.4440200229
107	0.4436185113
108	0.4430942554
109	0.4423707936
110	0.4414512615
111	0.4411098802
112	0.4410475632
113	0.4404254392
114	0.4400779565
115	0.439173472
116	0.4387828377
117	0.4378862128
118	0.4373609595
119	0.4370801201
120	0.4362801757
121	0.4356617288
122	0.4350433945
123	0.4346268896
124	0.4344865713
125	0.4336741437
126	0.4333627598
127	0.4327610967
128	0.4324252701
129	0.4321281604
130	0.4316465917
131	0.4312700527
132	0.4308085258
133	0.4303061485
134	0.4297707306
135	0.4292748328
136	0.4286511008
137	0.4284819069
138	0.4282364213
139	0.4278979054
140	0.4275483437
141	0.4270080423
142	0.4269753348
143	0.4266554177
144	0.4261178242
145	0.4255153924
146	0.4250625546
147	0.4247444364
148	0.4242833793
149	0.4237199537
150	0.4233448726
151	0.4228113273
152	0.4223874082
153	0.4222220712
154	0.4217322082
155	0.4214568389
156	0.4210127232
157	0.4207450889
158	0.4204743538
159	0.4197571622
160	0.4194328913
161	0.4191892025
162	0.418764451
163	0.4184532171
164	0.4180541762
165	0.4177903021
166	0.4173013679
167	0.4169468491
168	0.4165956981
169	0.4161403874
170	0.4158703752
171	0.4156005533
172	0.4151851101
173	0.4149416803
174	0.4145656519
175	0.414235668
176	0.4138027509
177	0.4135335354
178	0.4131076193
179	0.4129268811
180	0.4127089932
181	0.4121762534
182	0.4115296581
183	0.4109881534
184	0.4106760077
185	0.4102691458
186	0.4100484343
187	0.4097399534
188	0.4091727877
189	0.4088179662
190	0.4086374507
191	0.4082494171
192	0.4079651845
193	0.4076821378
194	0.4075149798
195	0.4071294896
196	0.4069233908
197	0.406770514
198	0.4064643356
199	0.406277547
200	0.4058651779
201	0.4057015385
202	0.4054829465
203	0.4052488327
204	0.4048610881
205	0.4046746384
206	0.4044511908
207	0.4041765085
208	0.4039014454
209	0.4036568084
210	0.4034928607
211	0.4031027282
212	0.402754756
213	0.4024395688
214	0.402318091
215	0.4021602814
216	0.4015951283
217	0.4013738523
218	0.4012252541
219	0.4010520382
220	0.4007902154
221	0.4005489353
222	0.4003348329
223	0.4001228676
224	0.3998926084
225	0.3996643935
226	0.3991283682
227	0.3988889326
228	0.3983469869
229	0.3981396167
230	0.3977072138
231	0.3974709766
232	0.3973249919
233	0.3971470216
234	0.3970258826
235	0.3967445554
236	0.3965568644
237	0.3963105926
238	0.3960675888
239	0.3956055723
240	0.3954277155
241	0.3952218734
242	0.3948796355
243	0.3945652815
244	0.3943051095
245	0.3939046115
246	0.393730944
247	0.3934788125
248	0.3931462327
249	0.3928381173
250	0.3923446055
251	0.3919831421
252	0.3917502952
253	0.3916156855
254	0.3913121619
255	0.3912129637
256	0.391130029
257	0.3908515577
258	0.3907775717
259	0.3906346341
260	0.3905108252
261	0.3902885045
262	0.3900670563
263	0.3899332423
264	0.3895571543
265	0.389361455
266	0.3891896526
267	0.3889090361
268	0.3888153809
269	0.3884623227
270	0.3883156463
271	0.3880483728
272	0.3878628308
273	0.3878442241
274	0.3876837071
